Year,AiForcast,CapacityLow,CapacityHigh,Reference
2008,41.46,41.46,41.46,41.46
2009,41.74,41.74,41.74,41.74
2010,43.39,43.39,43.39,43.39
2011,43.27,43.27,43.27,43.27
2012,43.15,43.15,43.15,43.15
2013,42.36,42.36,42.36,42.36
2014,42.66,42.66,42.66,42.66
2015,43.34,43.34,43.34,43.34
2016,42.92,42.92,42.92,42.92
2017,43.31,43.31,43.31,43.31
2018,43.42,43.42,43.42,43.42
2019,43.82,43.82,43.82,43.82
2020,43.18,43.18,43.18,43.18
2021,43.27,43.27,43.27,43.27
2022,43.48,43.48,43.48,43.48
2023,43.47,43.47,43.47,43.47
2024,43.65,43.59,45.68,44
2025,43.65,43.59,45.68,45
2026,43.8,43.68,46.3,46
2027,43.94,43.77,46.82,47
2028,44.09,43.86,47.3,48
2029,44.24,43.96,47.74,49
2030,44.39,44.05,48.15,49.5
2031,44.54,44.14,48.53,50
2032,44.69,44.23,48.9,51
2033,44.83,44.33,49.26,52
2034,44.98,44.42,49.6,53
2035,45.13,44.51,49.93,54
2036,45.28,44.6,50.25,54.5
2037,45.43,44.7,50.57,55
2038,45.58,44.79,50.87,56
2039,45.72,44.88,51.17,57
2040,45.87,44.97,51.46,57.5
2041,46.02,45.07,51.75,58
2042,46.17,45.16,52.03,58.5
2043,46.32,45.25,52.31,59
2044,46.47,45.34,52.58,59.5
2045,46.61,45.44,52.85,60
2046,46.76,45.53,53.12,60.5
2047,46.91,45.62,53.38,60.5
2048,47.06,45.72,53.64,60.5
2049,47.21,45.81,53.9,60.89
2050,47.36,45.9,54.15,62.1