Year,Hydro,Geothermal,Biogas,Wood,Wind,Solar3,Oil,Coal,Gas,Waste Heat
2008,22124,3966,203,480,1048,3,124,4515,8937,56
2009,23975,4589,215,499,1462,4,9,3082,7848,53
2010,24479,5559,218,502,1620,4,2,1929,9018,57
2011,24860,5884,218,488,1936,4,2,2028,7804,46
2012,22668,6084,211,533,2057,5,3,3317,8236,35
2013,22799,6449,203,548,2000,7,3,2237,8069,44
2014,24075,7195,228,522,2189,19,3,1831,6547,47
2015,24285,7749,244,519,2340,36,1,1753,6361,49
2016,25676,7738,265,496,2317,56,3,979,5338,51
2017,24924,7779,264,485,2070,76,6,1133,6527,46
2018,25992,7729,262,463,2047,100,11,1479,5287,49
2019,25343,7793,267,472,2233,127,4,2118,5413,45
2020,24024,7834,271,460,2282,159,13,2159,5934,40
2021,23992,7968,265,483,2616,208,26,3020,4651,43
2022,26013,8033,266,439,2837,281,7,1254,4311,40
2023,26310,7758,275,408,3196,367,4,1032,4091,33